filepath,label
dataset\Tomato___Late_blight\838c4952-8d91-44b9-905d-96b065683f21___RS_Late.B 6038_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\370b9866-9a0d-4541-aaf1-cfefa1d2268c___RS_Late.B 6938_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\e59a54d3-77fa-4547-8ba6-cc5ee7b0591a___GCREC_Bact.Sp 3827_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\c0267369-b9ec-471e-b8a2-9aa3fc77b3c1___GHLB2 Leaf 9028_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\e0d1e45d-0a01-4d79-8766-11d842cc7155___UF.GRC_BS_Lab Leaf 8804_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\2f8a0ddd-dbc7-4c67-a993-2e6e7c79094e___GCREC_Bact.Sp 5966_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\1c8bf271-8455-42f5-8e9f-8a92418116f9___GHLB2 Leaf 9066_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\66ba68aa-9004-44d8-91f9-e3bd1de3a183___GCREC_Bact.Sp 5548_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\604cb86e-6490-4cb4-b1f4-5cb57a5823ba___GCREC_Bact.Sp 3369_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\f9f0fe7b-8c5d-4927-afc9-347aebab1ffa___RS_Late.B 4925_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\97f4f8ad-c220-43f4-b25e-a6ae315057f0___RS_HL 0078_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\8e19f6ec-51c4-496a-9970-746085371064___RS_HL 9829_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\91de14a9-7d76-4975-ad9a-d1f06c99f786___RS_Late.B 6144_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\a617c469-1174-43ab-910f-0c31a09dd0be___RS_Late.B 6085_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\cff6ca5a-84c8-4059-b63d-55127d94b23d___GCREC_Bact.Sp 6100_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\c2a64948-bda7-4a89-aec6-be714ba7cf99___RS_Erly.B 8330_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\fd2fa9cc-2147-40ff-9e71-0056eb7884ed___GH_HL Leaf 285_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\9ba87e80-e0d5-4b50-8f7e-a0957c370320___RS_Erly.B 8324_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\d56280c8-1442-476c-bdc8-8bb99edad8dd___GHLB2 Leaf 8847_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\47a9ad56-28b2-4aaa-915e-55d04bef03b7___RS_Late.B 5425_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\eea69188-8c51-4d11-9e2d-4aec3e91a078___UF.GRC_BS_Lab Leaf 8912_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\a554c4d2-6eb9-438f-ae54-9477b0428ddf___GCREC_Bact.Sp 5570_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\4e67dd9d-8a92-4b30-bb08-2e30d34acde7___RS_HL 0245_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\0e3ded7b-0b9e-4c11-9db7-38eba7e0bdb2___GCREC_Bact.Sp 3598_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\ae811562-9670-4094-a791-41c848b909c4___GHLB2 Leaf 8982_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\e55af4aa-1f1c-4300-86ca-bdcff04bef80___GHLB_PS Leaf 2 Day 9_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\9b0836db-9e56-4dc2-ba79-2d02907eaee1___GHLB2 Leaf 9048_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\ccb77acf-506d-4ebe-a35c-12bbd9e0825f___UF.GRC_BS_Lab Leaf 0653_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\5575d52c-a773-41fa-a7bc-a09c1ad912f2___RS_HL 0353_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\abab2c83-54cb-4427-b239-7f55be4d7f78___RS_HL 9709_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\2cc65e15-e2ac-4a59-be59-ea7882d51638___GCREC_Bact.Sp 6018_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\2693b1a4-a4a2-4c40-a775-75b640e50b01___GCREC_Bact.Sp 5798_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\824d057f-080b-4b9e-ae96-e91d5bdf3b98___RS_HL 0380_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\eb31ccad-06e1-43ab-90f9-e86f4cba2fed___RS_HL 0552_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\bc5fd090-21b4-42d8-82b7-354a7697dc22___RS_Late.B 5546_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\509601a4-652c-4666-bb90-44e4a6d98062___RS_HL 9764_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\cc4ae662-c07c-4aae-8868-f4711ae5d158___GCREC_Bact.Sp 3852_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\43014e59-9f8f-4e30-9548-22afff8a0d65___RS_HL 0201_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\31514f29-0b4c-4d5a-bd8b-cb0e1264bf48___RS_Late.B 6087_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\ce9cef60-51af-4e89-bbe7-bf463d767e99___RS_HL 0614_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\bbb807e9-9eef-4220-bbcd-9663542c0d4e___GHLB2 Leaf 9035_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\2eb4a2fa-d41e-47f1-9e3f-e49035c5b24a___RS_HL 9995_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\97f6b5cb-a2aa-4846-a306-decda7f1ad73___RS_Late.B 6127_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\3c8a4977-eab9-4639-b12a-c1c42c7258f3___RS_HL 0432_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\95a89332-3fb0-49cd-98f4-3f1551ebcd6f___UF.GRC_BS_Lab Leaf 0406_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\fa416dda-9685-490c-ad69-e857e205b1fb___GCREC_Bact.Sp 6181_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\fb9fb5cb-e187-481c-99ea-07b11c0936bd___GCREC_Bact.Sp 3320_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\a63362e0-5e9f-4056-b66b-2f3fc23ea932___GHLB2 Leaf 111.2_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\313ff9e3-e43c-45b6-9879-b76a1e040eef___RS_Erly.B 8454_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\7f2d44f1-7daa-4b13-9058-18da27dc883d___RS_Late.B 5439_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\2e0a7517-332f-4799-a083-5d393172909a___RS_HL 0612_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\f26a0950-0a68-4850-8945-a8aca58da4fa___RS_Erly.B 7505_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\5025cbd9-e9e6-4c16-a9c8-b915a5e30f13___RS_Late.B 7009_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\d9756e4c-11ac-4c09-8a3c-4938d56bfc1e___RS_HL 0488_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\037c55c7-6e33-4b8d-af05-4d555f4e658e___GHLB_PS Leaf 42.1 Day 18_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\dabf464f-af7f-4fdb-b598-ebc369968706___GCREC_Bact.Sp 3287_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\f8ef82ce-300a-4b6d-af4d-14d5d081a9d3___RS_Late.B 6707_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\96231bbd-d315-48e1-8631-f318b29cb60d___RS_Late.B 7080_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\7b93db88-7c70-444a-9096-1812426217f7___RS_HL 0167_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\930bcd42-1c53-414c-94e5-8b270920ed68___RS_HL 0156_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\f0336650-0021-43e9-9e8c-d921c5532116___RS_HL 0249_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\c6eee071-b1e6-4237-9a0a-8f49e4665dc4___GCREC_Bact.Sp 3185_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\63612a6e-c1f1-4ae1-9741-52c28b264dfa___GH_HL Leaf 464_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\78bbfa5e-89ae-45aa-b2af-8765587861c4___GCREC_Bact.Sp 6262_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\70d0d259-85a6-4be5-8d47-dba059c5c259___RS_Erly.B 7539_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\1f73406a-14e8-4be2-8450-9379d4f9b2b5___GHLB2 Leaf 9062_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\5bbb489c-d164-4e67-a965-6ab33a754d3f___GCREC_Bact.Sp 3016_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\84e8f373-1499-4e1e-afcc-ca5ec48d661c___RS_Erly.B 6440_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\9125266c-1269-43ff-b813-2052f3d16a9d___GHLB2 Leaf 8536_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\581ec351-50cf-4ab7-9b6a-cbae02d623df___GCREC_Bact.Sp 2985_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\35411663-291f-4dbd-a89f-7d9c8eb01d56___GCREC_Bact.Sp 3158_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\0a334ae6-bea3-4453-b200-85e082794d56___GH_HL Leaf 310.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\26d22895-7a72-4e27-99b7-222618d69b7b___RS_Late.B 5111_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\a882bb71-3c0f-4778-94db-9a228cfe619a___RS_HL 0095_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\73bbd57a-8733-4b2a-a38d-f304ea890c62___RS_Erly.B 9548_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Early_blight\42a9a952-29d4-4a66-9dd9-65ebaac0db93___RS_Erly.B 7815_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\fa55bcc1-cda8-458e-a137-579f1dc1bda8___RS_HL 9845_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\c41aefc3-843c-49c9-8c8f-15c0e1dbc507___RS_HL 9857_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\aa0058b5-2857-40fd-8b40-24d728574aec___RS_HL 0415_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\8e06d830-df85-4b76-be46-c7814bedcd51___GHLB2 Leaf 8907_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\014d4972-1301-46d3-afc4-56470b774137___GHLB2 Leaf 8831_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\c7281266-81e4-4ef3-a601-7662898fe565___GCREC_Bact.Sp 3148_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\1941f5d9-f31f-453e-b07c-3f90da6aa381___RS_Erly.B 8238_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Early_blight\8a13da5b-4bc2-485a-962d-df8c6634ea00___RS_Erly.B 7519_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\1498c064-8f74-4706-bf27-4761c24b72bd___RS_Late.B 5120_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\59b3cd39-7a2f-4dc0-a08b-4c88f893f338___RS_HL 9792_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\b687c1bd-478f-45ea-a69d-d66f980dea08___GHLB Leaf 7 Day 6_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\0e03c87e-b43f-4cfe-a837-71306c68f4c0___RS_Erly.B 7733_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\3f34a2bd-b608-43dc-8608-2827ab8d5c6a___GCREC_Bact.Sp 6372_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\4e726fa5-592c-4e69-a29e-4fc466d82597___GCREC_Bact.Sp 3377_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\0d515778-61ef-4f0b-ab54-75607c80220f___RS_HL 9745_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\9ee73ce8-ea9e-4a76-8b41-39500bdf3514___RS_HL 0110_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\84cbb98b-5c2f-4367-8d78-52be491e66bd___GH_HL Leaf 336_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\750a42ee-b73f-4137-934d-501b311a5528___GH_HL Leaf 330_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\ba30a8ef-d2b9-4c5a-8433-d52e0cdfa6fe___GCREC_Bact.Sp 3202_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\fd3e89ea-d6f8-4544-8aa5-ec27578a0a7b___GCREC_Bact.Sp 3788_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\5e7a999e-6617-4c94-8c57-c1b0e1a392b9___RS_Late.B 5636_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\28200010-ba2b-41f7-9dff-94d86019488e___GH_HL Leaf 366_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\98e0a217-023f-45ad-a1b7-3719a5fdea49___GH_HL Leaf 283_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\d95cca34-6952-4d22-9d61-6304dcce3448___GH_HL Leaf 280.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\888463af-3611-49bb-bbf3-b3b35d0496dd___UF.GRC_BS_Lab Leaf 8725_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\99fcb52b-0e4f-47a6-b350-1d49d26bc649___GH_HL Leaf 298_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\25a83fb3-e27a-419c-a9db-652fae319fcd___RS_Late.B 6191_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\d5b8a6e0-d0f6-4271-9d20-2e2d98834b8e___RS_Late.B 4952_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\7627db62-eca7-44fd-8b81-b818575821aa___GH_HL Leaf 356.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\4b3b4550-4629-4b5d-9b6a-5af474c6066e___GCREC_Bact.Sp 3850_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\cef66036-f0d8-4ab8-898f-8269c2051331___UF.GRC_BS_Lab Leaf 9071_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\93807606-0aed-435b-adb2-cf303a7d586e___RS_HL 0135_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\da7db6e5-d5d5-489a-b1b2-9b3a880cebaa___RS_HL 9769_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\ccafbe60-2783-45b3-a73b-16f93a301cf5___GCREC_Bact.Sp 3395_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\3ff6609e-918b-4642-8798-10ed02b1d36d___GCREC_Bact.Sp 6050_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\77240aeb-e455-4062-907c-43be7bac78b9___GCREC_Bact.Sp 5964_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\ac89de10-2de8-40a4-8f6e-f0a37e97cd57___RS_Late.B 5126_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\c63ff9c7-0422-4a71-8727-7c2581fdee6e___RS_Erly.B 9406_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\1ebf9add-aa7f-4a84-adbf-67f700f918bc___GH_HL Leaf 437_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\42bc64dd-b367-4cc0-b5df-689c1e86705d___RS_Late.B 4906_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\8fb90166-3c4a-4553-a920-54b529dbaf24___UF.GRC_BS_Lab Leaf 0271_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\50c710e2-ad13-4b3a-a829-65d51ead21ff___GH_HL Leaf 269_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\03ccfc6a-8142-4f46-8eb5-f7fc77978081___RS_Late.B 4916_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\f433b7ce-cddb-4f22-8b0f-2376789c45f1___GH_HL Leaf 337_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\22356f83-9bb2-4b42-9283-bbf8e0dffba0___RS_HL 0430_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\fc77b008-6f35-40c7-96d4-64660bb624dc___GHLB2 Leaf 8812_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\7d8a95e9-ea83-44f4-9f7c-ad4692b1ce1f___RS_Erly.B 7534_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\38ef51e1-c793-4a6c-b17d-e066bcd533c8___GCREC_Bact.Sp 5639_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\28e62e2d-8aba-48df-9eff-3d70a5b7775d___RS_HL 9870_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\125ff07a-87f1-4953-9ded-8f9e5adb7b1b___RS_HL 0470_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\bb843f3f-a4cd-4a42-94ff-152199d78895___RS_Erly.B 7381_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\eaea12c1-998c-4853-ba5e-95c8cb08c4b9___GCREC_Bact.Sp 3324_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\291aa719-2698-4449-9e9c-095cfc04da6f___GCREC_Bact.Sp 6196_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\20249fbb-29c5-40fb-985e-5a0b9f0e67b1___RS_HL 0117_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\ecf64cfc-d521-48af-bb48-06edc78074c5___GH_HL Leaf 323_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\acc5fb41-7b03-44c2-8167-47346b97791a___RS_Erly.B 8320_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\07b44f68-fa0b-44b5-91cc-c6a7144fcc93___RS_HL 0357_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\6c93e40c-bd94-4583-8651-2b9d7215a392___RS_HL 0054_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\fcaf83f1-ddaa-4faf-a4aa-f657f5342474___RS_Late.B 6278_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\9397ecfe-6f1f-47cf-8549-43711ec0e734___GH_HL Leaf 213_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\0d615a38-cfa4-45e4-b1b4-9977220e19ca___RS_HL 9815_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\99baac4a-7079-4c68-b2bf-c9cf123ddffc___RS_Erly.B 7619_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\e2991a66-412d-4841-8dc0-524e38338a82___GH_HL Leaf 517.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\0a22f50a-5f25-4cf6-816b-76cae94b7f30___GCREC_Bact.Sp 6103_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\000146ff-92a4-4db6-90ad-8fce2ae4fddd___GH_HL Leaf 259.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\cbb3f283-baaa-40b1-9e46-3414d8f74f99___GH_HL Leaf 231.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\81425428-d995-492c-80ba-c28564d8f317___RS_Late.B 6265_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\4520a2cd-8c13-443a-a83e-8310fa9cb0d8___GCREC_Bact.Sp 6225_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\83ecce4f-12d0-4d5a-8c65-8f0b2b24de73___GCREC_Bact.Sp 3259_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\aee192d9-666e-4ef8-aa5e-86d09d14216c___GHLB2 Leaf 8582_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\69d1a3dc-54cd-4917-99b7-a315d7932edf___GH_HL Leaf 347.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\e63371a7-2fb1-4446-9fb2-6d679485d2b0___RS_Erly.B 8415_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\f7be50b3-65ad-4d0d-9c7f-55ab2de07b1b___GHLB_PS Leaf 19 Day 8_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\95c643fe-b526-467b-bc19-65e0f5f745f8___GCREC_Bact.Sp 6378_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\d452210c-ee07-4a6e-a0e0-15676dafacb1___RS_Erly.B 7419_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\3c7e6602-8832-4502-9a10-fc06389b9604___UF.GRC_BS_Lab Leaf 0641_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\757868c3-554d-4d29-bec3-fee3d8200c38___GHLB2 Leaf 9080_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\095f2dd4-7e65-44ab-a867-c5d9634ec532___GCREC_Bact.Sp 3801_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\9299f3e8-15ee-4cf2-997a-058bb19900a5___RS_HL 9781_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\a647b254-deb0-427d-89e4-05eedfeeffea___RS_Late.B 5106_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\e219e45e-3a8e-46dc-9621-9914f42bf3af___RS_Erly.B 7838_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\b6d72c2e-9e41-4215-af23-8e84d94d839f___UF.GRC_BS_Lab Leaf 9065_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\46e4103f-f240-48cc-ae17-9466fcbec332___RS_Late.B 6650_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\52ca9334-9911-476d-a130-f44e033aeda1___UF.GRC_BS_Lab Leaf 0244_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\a58b9916-46bd-49c2-b26e-de46080fdeee___GHLB2 Leaf 8879_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\72361f8d-d158-48b5-a77e-f10cbaf7b29f___RS_HL 0118_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\442f2aa6-9341-4f25-b789-edb5c9ac078b___GHLB2 Leaf 8846_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\c684e255-de5d-4905-b934-962180be33cb___RS_Erly.B 7353_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\1a972145-610d-4efe-96e7-e0253c4ece4a___GH_HL Leaf 237.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\6fbefe16-4635-4a03-b245-65594ded39cf___RS_Erly.B 7654_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\b5397b14-c009-41b4-b828-45203ffa2d22___GHLB2 Leaf 8986_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\1510bf70-ab9e-43df-b5d9-9b5e4352e66b___GHLB2 Leaf 118_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\b0ffcaa8-a798-4904-bceb-518fc36aec43___GCREC_Bact.Sp 6327_final_masked.jpg,Tomato___Bacterial_spot
